slot_index,data_rate_gbps
0,1.353866
1,0.013824
2,0.061312
3,0.075136
4,0.061312
5,0.061312
6,0.047488
7,0.061312
8,0.013824
9,0.061312
10,0.061312
11,0.0
12,0.061312
13,0.061312
14,0.013824
15,0.061312
16,0.061312
17,0.061312
18,0.013824
19,0.061312
20,0.14861
21,0.175104
22,0.222592
23,0.087808
24,0.013824
25,0.061312
26,0.013824
27,0.061312
28,0.061312
29,0.075136
30,0.061312
31,0.047488
32,0.061312
33,0.061312
34,0.013824
35,0.013824
36,0.047488
37,0.061312
38,0.061312
39,0.061312
40,0.013824
41,0.061312
42,0.013824
43,0.0
44,0.075136
45,0.0544
46,0.068224
47,0.061312
48,0.013824
49,0.061312
50,0.061312
51,0.0
52,0.061312
53,0.061312
54,0.122624
55,0.013824
56,0.061312
57,0.061312
58,0.061312
59,0.061312
60,0.012096
61,0.001728
62,0.013824
63,0.175104
64,0.203872
65,0.175104
66,0.05656
67,0.013824
68,0.047488
69,0.061312
70,0.061312
71,0.075136
72,0.061312
73,0.013824
74,0.061312
75,0.061312
76,0.047488
77,0.013824
78,0.061312
79,0.122624
80,0.061312
81,0.013824
82,0.013824
83,0.061312
84,0.013824
85,0.061312
86,0.047488
87,0.013824
88,0.013824
89,0.061312
90,0.061312
91,0.061312
92,0.0544
93,0.006912
94,0.061312
95,0.061312
96,0.122624
97,0.013824
98,0.013824
99,0.047488
100,0.075136
101,0.047488
102,0.061312
103,0.013824
104,0.18893
105,0.175104
106,45.202432
107,0.0544
108,0.020736
109,0.061312
110,0.061312
111,0.047488
112,0.013824
113,0.0544
114,0.020736
115,0.061312
116,0.047488
117,0.061312
118,0.061312
119,0.012096
120,0.06304
121,0.075136
122,0.061312
123,0.0544
124,0.006912
125,0.061312
126,0.013824
127,0.013824
128,0.061312
129,0.075136
130,0.061312
131,0.061312
132,0.047488
133,0.061312
134,0.013824
135,0.061312
136,0.061312
137,0.0
138,0.061312
139,0.061312
140,0.013824
141,0.061312
142,0.061312
143,0.013824
144,0.061312
145,0.059584
146,0.015552
147,0.28973
148,0.222592
149,0.107968
150,0.013824
151,0.013824
152,0.061312
153,0.061312
154,0.061312
155,0.061312
156,0.061312
157,0.061312
158,0.061312
159,0.061312
160,0.013824
161,0.013824
162,0.047488
163,0.061312
164,0.061312
165,0.061312
166,0.013824
167,0.061312
168,0.013824
169,0.0
170,0.061312
171,0.068224
172,0.068224
173,0.061312
174,0.013824
175,0.061312
176,0.061312
177,0.0
178,0.061312
179,0.061312
180,0.122624
181,0.013824
182,0.013824
183,0.061312
184,0.061312
185,0.061312
186,0.059584
187,0.001728
188,0.013824
189,0.175104
190,0.156384
191,0.222592
192,0.05656
193,0.013824
194,0.047488
195,0.061312
196,0.061312
197,0.075136
198,0.061312
199,0.013824
200,0.047488
201,0.075136
202,0.047488
203,0.013824
204,0.061312
205,0.122624
206,0.061312
207,0.013824
208,0.013824
209,0.061312
210,0.013824
211,0.061312
212,0.047488
213,0.006912
214,0.020736
215,0.061312
216,0.061312
217,0.061312
218,0.0544
219,0.006912
220,0.013824
221,7.407926
222,12.461538
223,4.706212
224,0.013824
225,2.111888
226,9.364938
227,3.144088
228,5.690924
229,4.31913
230,0.18893
231,0.175104
232,45.182272
233,3.685532
234,1.04084
235,3.674012
236,6.770612
237,3.674012
238,3.626524
239,5.78138
240,1.04084
241,3.674012
242,6.254512
243,6.29752
244,3.674012
245,4.651812
246,0.020736
247,11.992926
248,6.770612
249,6.2476
250,0.006912
251,0.577412
252,6.207026
253,0.013824
254,0.061312
255,4.720036
256,4.706212
257,6.254512
258,4.176288
259,6.770612
260,2.594324
261,2.125712
262,4.658724
263,3.144088
264,5.27392
265,6.770612
266,2.115088
267,1.604236
268,4.732942
269,0.013824
270,0.047488
271,0.068224
272,0.020736
273,0.255746
274,0.222592
275,0.094464
276,0.061312
277,0.013824
278,3.647644
279,6.361578
280,3.14716
281,0.075136
282,0.061312
283,0.061312
284,0.061312
285,0.061312
286,0.013824
287,0.013824
288,0.047488
289,0.061312
290,0.061312
291,0.061312
292,0.013824
293,0.061312
294,0.013824
295,0.0
296,0.061312
297,0.066496
298,0.069952
299,0.061312
300,0.013824
301,0.061312
302,0.061312
303,0.0
304,0.061312
305,0.061312
306,0.122624
307,0.013824
308,0.013824
309,0.061312
310,0.061312
311,0.061312
312,0.0544
313,0.006912
314,0.013824
315,0.175104
316,0.156384
317,0.222592
318,0.054832
319,0.015552
320,0.047488
321,0.061312
322,0.061312
323,0.075136
324,0.061312
325,0.013824
326,0.047488
327,0.075136
328,0.047488
329,0.013824
330,0.061312
331,0.122624
332,0.061312
333,0.012096
334,0.015552
335,0.061312
336,0.013824
337,0.061312
338,0.047488
339,0.006912
340,0.020736
341,0.061312
342,0.061312
343,0.061312
344,0.0544
345,0.006912
346,0.013824
347,0.1088
348,0.075136
349,0.061312
350,0.013824
351,0.047488
352,0.061312
353,0.061312
354,0.013824
355,0.061312
356,0.18893
357,0.175104
358,45.162112
359,0.087808
360,0.013824
361,0.061312
362,0.061312
363,0.061312
364,0.0
365,0.061312
366,0.013824
367,0.061312
368,0.061312
369,0.061312
370,0.061312
371,0.006912
372,0.020736
373,0.122624
374,0.061312
375,0.0544
376,0.006912
377,0.061312
378,0.013824
379,0.013824
380,0.061312
381,0.0544
382,0.082048
383,0.061312
384,0.047488
385,0.061312
386,0.013824
387,0.061312
388,0.013824
389,0.047488
390,0.061312
391,0.061312
392,0.013824
393,0.061312
